SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree364	-42.1307	5.40702e-06	0.221587	0.11511	0	6.794	2.077	11.283
tree365	-45.9447	1e-06	0.248485	0.205668	0	7.464	4.327	12.863
tree366	-43.9344	1e-06	0.207847	0.172029	0	6.862	3.878	13.016
tree367	-45.7571	0.000266977	0.195821	0.202142	0.001	6.004	5.081	15.076
tree368	-44.164	1e-06	0.215633	0.174332	0	6.735	3.924	13.189
tree369	-43.6209	5.99898e-06	0.162646	0.15982	0	4.915	4.259	15.344
tree370	-44.2669	1e-06	0.189517	0.180797	0	6.477	4.506	14.029
tree371	-44.2669	1e-06	0.189517	0.180797	0	6.351	4.524	14.173
tree372	-45.7825	1e-06	0.234196	0.192852	0	7.572	4.285	12.713
tree373	-41.3569	1e-06	0.149484	0.109473	0	4.363	2.941	14.578
tree374	-43.8169	1.89228e-05	0.159058	0.168738	0	4.883	4.558	15.675
tree375	-46.1319	1e-06	0.217389	0.206155	0	6.56	4.767	14.207
tree376	-44.164	1e-06	0.215633	0.174332	0	6.732	3.919	13.187
tree377	-43.5585	8.11329e-06	0.161581	0.163121	0	4.999	4.325	15.326
tree378	-45.0155	1e-06	0.219646	0.194467	0	7.117	4.467	13.35
tree379	-45.8644	1e-06	0.217457	0.205889	0	7.438	4.835	13.397
tree380	-45.3953	1e-06	0.204939	0.202633	0	7.212	4.87	13.658
tree381	-43.6209	5.99898e-06	0.162646	0.15982	0	5.008	4.272	15.264
tree382	-44.1346	1e-06	0.226395	0.176686	0	6.842	3.906	13.064
tree383	-45.4742	6.61325e-06	0.268386	0.142707	0	7.695	2.786	11.091
tree384	-43.3771	9.03608e-06	0.16892	0.155998	0	5.046	4.115	15.069
tree385	-44.5407	1e-06	0.23974	0.155877	0	7.397	3.139	11.742
tree386	-43.7589	1e-06	0.196869	0.212737	0	6.771	5.224	14.453
tree387	-46.5781	5.76074e-05	0.210423	0.221747	0	6.397	5.512	15.115
tree388	-45.9447	1e-06	0.248485	0.205668	0	7.504	4.393	12.889
tree389	-43.5952	0.000153764	0.248836	0.154794	0	6.875	3.176	12.301
tree390	-43.5585	8.11329e-06	0.161581	0.163121	0	4.961	4.311	15.35
tree391	-45.5118	1e-06	0.257685	0.153074	0	8.011	2.549	10.538
tree392	-44.2669	1e-06	0.189517	0.180797	0	6.481	4.452	13.971
tree393	-42.5962	1e-06	0.147976	0.162389	0	4.67	4.278	15.608
tree394	-45.0155	1e-06	0.219646	0.194467	0	7.175	4.409	13.234
tree395	-43.9344	1e-06	0.207847	0.172029	0	6.736	3.903	13.167
tree396	-46.3084	2.66197e-05	0.275713	0.161462	0	7.872	2.975	11.103
