SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree121	-43.7804	0	0.246956	0.133827	0	6.893	2.845	11.952
tree122	-42.3111	0	0.147972	0.14542	0	4.496	3.911	15.415
tree123	-44.1476	0	0.249486	0.137556	0	7.459	2.627	11.168
tree124	-43.7967	0	0.159149	0.163532	0	4.85	4.397	15.547
tree125	-44.2646	0	0.195701	0.178185	0	6.392	4.485	14.093
tree126	-42.9526	0	0.172261	0.211802	0	7.717	5.237	13.52
tree127	-45.7821	0	0.236794	0.203217	0	7.626	4.265	12.639
tree128	-44.2646	0	0.195701	0.178185	0	6.45	4.39	13.94
tree129	-46.1319	0	0.218633	0.204299	0	6.605	4.653	14.048
tree130	-43.527	0	0.213786	0.160701	0	7.233	3.439	12.206
tree131	-46.6795	0	0.263602	0.215243	0	8.009	4.252	12.243
tree132	-44.8536	0	0.227987	0.196073	0	6.985	4.324	13.339
tree133	-44.4476	0	0.212537	0.151159	0	6.177	3.664	13.487
tree134	-45.9446	0	0.247154	0.205827	0	7.575	4.4	12.825
tree135	-43.1069	0	0.177641	0.164605	0	5.655	4.039	14.384
tree136	-44.1639	0	0.215064	0.175447	0	6.844	3.949	13.105
tree137	-44.2942	0	0.181631	0.1932	0	6.343	5.214	14.871
tree138	-44.5044	0	0.275661	0.138414	0	7.457	2.792	11.335
tree139	-42.6105	0	0.21	1e-06	0	6.256	0	9.744
tree140	-43.5582	0	0.159522	0.16018	0	4.959	4.199	15.24
tree141	-45.1101	0	0.207411	0.198402	0	6.89	4.817	13.927
tree142	-44.1358	0	0.229289	0.147502	0	7.474	2.971	11.497
tree143	-44.2646	0	0.195701	0.178185	0	6.483	4.271	13.788
tree144	-45.9446	0	0.247154	0.205827	0	7.454	4.383	12.929
tree145	-42.3111	0	0.147972	0.14542	0	4.51	3.927	15.417
tree146	-42.3111	0	0.147972	0.14542	0	4.553	3.906	15.353
tree147	-43.8947	0	0.247105	0.136115	0	6.962	2.792	11.83
tree148	-45.3304	0	0.189079	0.198656	0	5.771	4.903	15.132
tree149	-42.3111	0	0.147972	0.14542	0	4.495	3.927	15.432
tree150	-43.1069	0	0.177641	0.164605	0	5.551	4.044	14.493
tree151	-43.9323	0	0.206631	0.175402	0	6.876	3.998	13.122
tree152	-43.1419	0	0.175338	0.139842	0	5.315	3.508	14.193
tree153	-45.0936	0	0.237035	0.197529	0	7.604	4.098	12.494
tree154	-45.3304	0	0.189079	0.198656	0	5.862	4.984	15.122
tree155	-43.5582	0	0.159522	0.16018	0	4.926	4.243	15.317
tree156	-44.4476	0	0.212537	0.151159	0	6.107	3.663	13.556
tree157	-44.6971	0	0.184677	0.192338	0	6.5	5.087	14.587
tree158	-45.7055	0	0.260929	0.201577	0	7.708	4.225	12.517
tree159	-43.5582	0	0.159522	0.16018	0	4.929	4.282	15.353
tree160	-45.5525	0	0.186201	0.209043	0	5.714	5.225	15.511
tree161	-38.4624	0	0.140928	0.0969364	0	4.934	2.833	13.899
tree162	-44.1639	0	0.215064	0.175447	0	6.783	3.911	13.128
tree163	-41.2465	0	0.148894	0.120004	0	4.456	3.025	14.569
tree164	-45.3304	0	0.189079	0.198656	0	5.79	4.944	15.154
tree165	-43.5582	0	0.159522	0.16018	0	4.933	4.296	15.363
tree166	-40.7151	0	0.166384	0.148901	0	5.634	3.927	14.293
tree167	-44.2646	0	0.195701	0.178185	0	6.429	4.445	14.016
tree168	-44.2646	0	0.195701	0.178185	0	6.466	4.342	13.876
tree169	-44.2942	0	0.181631	0.1932	0	6.437	5.293	14.856
tree170	-44.2646	0	0.195701	0.178185	0	6.539	4.367	13.828
tree171	-44.4275	0	0.209344	0.212529	0	8.367	4.808	12.441
tree172	-44.2646	0	0.195701	0.178185	0	6.479	4.398	13.919
tree173	-42.3111	0	0.147972	0.14542	0	4.491	3.861	15.37
tree174	-45.7821	0	0.236794	0.203217	0	7.617	4.344	12.727
tree175	-43.7804	0	0.246956	0.133827	0	6.898	2.763	11.865
tree176	-46.4465	0	0.263982	0.214895	0	7.984	4.09	12.106
tree177	-42.7506	0	0.240119	1e-06	0	6.401	0	9.599
tree178	-46.1319	0	0.218633	0.204299	0	6.67	4.714	14.044
tree179	-44.0877	0	0.237203	0.145875	0	6.923	3.122	12.199
tree180	-46.4465	0	0.263982	0.214895	0	8.024	4.089	12.065
tree181	-44.5044	0	0.275661	0.138414	0	7.481	2.772	11.291
tree182	-43.4393	0	0.170714	0.155173	0	5.099	4.105	15.006
tree183	-46.1319	0	0.218633	0.204299	0	6.63	4.624	13.994
tree184	-46.7256	0	0.268289	0.218085	0	8.103	4.312	12.209
tree185	-41.1502	0	0.195128	0.0723063	0	6.1	1.074	10.974
tree186	-44.1639	0	0.215064	0.175447	0	6.745	3.937	13.192
tree187	-43.0657	0	0.183141	0.173802	0	6.881	3.592	12.711
tree188	-43.5582	0	0.159522	0.16018	0	4.887	4.299	15.412
tree189	-43.1657	0	0.221852	0.119122	0	6.278	2.753	12.475
tree190	-43.5582	0	0.159522	0.16018	0	4.919	4.256	15.337
tree191	-44.6056	0	0.214212	0.22043	0	8.062	5.236	13.174
tree192	-43.3231	0	0.186221	0.131872	0	6.021	3.408	13.387
tree193	-43.5582	0	0.159522	0.16018	0	4.875	4.192	15.317
tree194	-44.1639	0	0.215064	0.175447	0	6.734	3.991	13.257
tree195	-45.0154	0	0.216724	0.195202	0	7.103	4.354	13.251
tree196	-45.0154	0	0.216724	0.195202	0	7.017	4.415	13.398
tree197	-42.4285	0	0.153158	0.164941	0	5.672	4.858	15.186
tree198	-43.8947	0	0.247105	0.136115	0	7.07	2.799	11.729
tree199	-43.5582	0	0.159522	0.16018	0	4.879	4.235	15.356
tree200	-46.7256	0	0.268289	0.218085	0	8.143	4.29	12.147
tree201	-45.0351	0	0.204686	0.201772	0	6.975	4.927	13.952
tree202	-44.5408	0	0.240802	0.154218	0	7.338	3.093	11.755
tree203	-46.3246	0	0.238217	0.222836	0	7.471	5.055	13.584
tree204	-44.3539	0	0.256162	0.166129	0	7.393	3.236	11.843
tree205	-45.9446	0	0.247154	0.205827	0	7.514	4.428	12.914
tree206	-43.6973	0	0.202867	0.199516	0	7.817	4.745	12.928
tree207	-43.3549	0	0.213788	0.165371	0	7.087	3.484	12.397
tree208	-44.4806	0	0.207961	0.18759	0	6.796	4.522	13.726
tree209	-44.4726	0	0.204825	0.226092	0	7.356	5.229	13.873
tree210	-42.3111	0	0.147972	0.14542	0	4.525	3.927	15.402
tree211	-42.1178	0	0.158269	0.154379	0	4.906	3.997	15.091
tree212	-44.2646	0	0.195701	0.178185	0	6.451	4.443	13.992
tree213	-44.4797	0	0.261425	0.128884	0	7.506	2.403	10.897
tree214	-43.5582	0	0.159522	0.16018	0	4.915	4.314	15.399
tree215	-45.8643	0	0.221806	0.207578	0	7.402	4.782	13.38
tree216	-44.1145	0	0.239158	0.145854	0	6.926	2.955	12.029
tree217	-45.3304	0	0.189079	0.198656	0	5.839	4.974	15.135
