SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree898	-11354.9	0.01	0	0	0.279	442.546	439.475	12.65
tree899	-11355	0.01	0	0	0.31	423.058	419.344	11.976
tree900	-11354.9	0.01	0	0	0.272	438.558	435.164	12.334
tree901	-11354.9	0.01	0	0	0.3	436.076	432.477	12.101
tree902	-11355	0.01	0	0	0.289	427.139	423.264	11.836
tree903	-11355	0.01	0	0	0.276	427.267	423.56	12.017
tree904	-11355	0.01	0	0	0.288	420.788	416.843	11.767
tree905	-11355	0.01	0	0	0.259	417.041	413.036	11.736
tree906	-11354.9	0.01	0	0	0.3	444.384	441.285	12.601
tree907	-11354.9	0.01	0	0	0.296	453.565	450.693	12.832
tree908	-11354.9	0.01	0	0	0.288	432.532	428.945	12.125
tree909	-11354.9	0.01	0	0	0.284	424.833	421.115	11.998
tree910	-11354.9	0.01	0	0	0.277	441.537	438.151	12.337
tree911	-11354.9	0.01	0	0	0.28	436.919	433.522	12.323
tree912	-11354.9	0.01	0	0	0.275	440.337	437.151	12.539
tree913	-11354.9	0.01	0	0	0.287	422.495	418.584	11.802
tree914	-11354.9	0.01	0	0	0.261	438.74	435.208	12.207
tree915	-11354.9	0.01	0	0	0.257	436.395	432.897	12.245
tree916	-11354.9	0.01	0	0	0.301	426.099	422.285	11.885
tree917	-11354.9	0.01	0	0	0.287	430.575	426.882	12.02
tree918	-11354.9	0.01	0	0	0.299	426.785	423.04	11.956
tree919	-11354.9	0.01	0	0	0.311	438.171	434.982	12.5
tree920	-11354.9	0.01	0	0	0.281	438.827	435.541	12.433
tree921	-11355	0.01	0	0	0.314	430.959	427.454	12.181
tree922	-11354.9	0.01	0	0	0.285	445.35	442.376	12.741
tree923	-11354.9	0.01	0	0	0.287	452.486	449.557	12.784
tree924	-11354.9	0.01	0	0	0.309	428.04	424.242	11.893
tree925	-11354.9	0.01	0	0	0.264	426.968	423.192	11.96
tree926	-11354.9	0.01	0	0	0.303	424.811	420.931	11.817
tree927	-11354.9	0.01	0	0	0.269	433.61	430.122	12.243
tree928	-11354.9	0.01	0	0	0.294	440.198	436.965	12.473
tree929	-11354.9	0.01	0	0	0.283	442.486	439.41	12.641
tree930	-11354.9	0.01	0	0	0.275	423.212	419.334	11.847
tree931	-11354.9	0.01	0	0	0.306	429.237	425.421	11.878
tree932	-11355	0.01	0	0	0.296	427.726	423.912	11.89
tree933	-11355	0.01	0	0	0.293	431.834	428.323	12.196
tree934	-11354.9	0.01	0	0	0.293	440.765	437.44	12.382
tree935	-11355	0.01	0	0	0.284	419.789	415.662	11.589
tree936	-11354.9	0.01	0	0	0.294	424.717	420.703	11.692
tree937	-11354.9	0.01	0	0	0.319	424.456	420.57	11.795
tree938	-11354.9	0.01	0	0	0.308	425.658	422.02	12.054
tree939	-11354.9	0.01	0	0	0.27	431.868	428.102	11.964
tree940	-11354.9	0.01	0	0	0.332	420.863	416.872	11.677
tree941	-11354.9	0.01	0	0	0.288	429.222	425.649	12.139
tree942	-11355	0.01	0	0	0.292	430.995	427.389	12.102
tree943	-11354.9	0.01	0	0	0.251	441.679	438.426	12.496
tree944	-11354.9	0.01	0	0	0.315	430.39	426.813	12.108
tree945	-11355	0.01	0	0	0.278	428.955	425.385	12.152
tree946	-11354.9	0.01	0	0	0.289	446.094	442.937	12.554
tree947	-11354.9	0.01	0	0	0.288	432.748	429.205	12.169
tree948	-11354.9	0.01	0	0	0.301	428.795	425.131	12.035
tree949	-11354.9	0.01	0	0	0.286	428.363	424.738	12.089
tree950	-11354.9	0.01	0	0	0.279	455.818	453.184	13.087
tree951	-11355	0.01	0	0	0.286	440.049	436.745	12.41
tree952	-11355	0.01	0	0	0.291	414.578	410.467	11.598
tree953	-11354.9	0.01	0	0	0.265	421.271	417.255	11.719
tree954	-11354.9	0.01	0	0	0.292	425.886	422.145	11.967
tree955	-11354.9	0.01	0	0	0.293	430.064	426.561	12.204
tree956	-11355	0.01	0	0	0.302	423.095	419.217	11.82
tree957	-11354.9	0.01	0	0	0.304	421.615	417.695	11.776
