SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree303	-11354.9	0	0	0	0.289	430.398	426.697	12.01
tree304	-11354.9	0	0	0	0.295	448.809	445.896	12.792
tree305	-11354.9	0	0	0	0.286	439.901	436.642	12.455
tree306	-11354.9	0	0	0	0.314	430.995	427.316	12.007
tree307	-11354.9	0	0	0	0.299	439.642	436.261	12.32
tree308	-11354.9	0	0	0	0.269	427.18	423.489	12.04
tree309	-11354.9	0	0	0	0.269	444.059	440.948	12.62
tree310	-11354.9	0	0	0	0.299	427.128	423.496	12.069
tree311	-11354.9	0	0	0	0.261	430.769	427.423	12.393
tree312	-11354.9	0	0	0	0.265	437.088	433.659	12.306
tree313	-11354.9	0	0	0	0.281	448.903	445.804	12.62
tree314	-11354.9	0	0	0	0.272	431.223	427.487	11.992
tree315	-11354.9	0	0	0	0.259	442.437	439.304	12.608
tree316	-11354.9	0	0	0	0.322	427.485	423.845	12.038
tree317	-11354.9	0	0	0	0.296	447.057	444.145	12.792
tree318	-11354.9	0	0	0	0.277	429.799	426.282	12.206
tree319	-11354.9	0	0	0	0.294	422.602	418.836	11.94
tree320	-11354.9	0	0	0	0.273	423.923	420.015	11.819
tree321	-11354.9	0	0	0	0.302	430.697	426.973	11.974
tree322	-11354.9	0	0	0	0.31	427.893	424.329	12.126
tree323	-11354.9	0	0	0	0.27	434.968	431.365	12.127
tree324	-11354.9	0	0	0	0.301	431.376	427.819	12.142
tree325	-11354.9	0	0	0	0.267	441.641	438.363	12.455
tree326	-11354.9	0	0	0	0.266	437.918	434.479	12.295
tree327	-11354.9	0	0	0	0.277	430.506	427.106	12.323
tree328	-11354.9	0	0	0	0.254	444.751	441.854	12.849
tree329	-11354.9	0	0	0	0.286	427.959	424.284	12.039
tree330	-11354.9	0	0	0	0.296	415.872	411.626	11.458
tree331	-11354.9	0	0	0	0.279	439.927	436.684	12.478
tree332	-11354.9	0	0	0	0.281	437.602	434.233	12.35
tree333	-11354.9	0	0	0	0.268	432.566	429.101	12.267
tree334	-11354.9	0	0	0	0.272	449.402	446.44	12.766
tree335	-11354.9	0	0	0	0.316	427.989	424.128	11.823
